"time","rating","videoID"
30,55,"113_6"
32,55,"113_6"
34,55,"113_6"
36,54.175,"113_6"
38,50.6,"113_6"
40,42.4,"113_6"
42,42.725,"113_6"
44,45.925,"113_6"
46,48,"113_6"
48,48,"113_6"
50,49.625,"113_6"
52,52.7,"113_6"
54,52.7,"113_6"
56,52.7,"113_6"
58,52.85,"113_6"
60,53.8,"113_6"
62,49.825,"113_6"
64,52.875,"113_6"
66,54.75,"113_6"
68,58.475,"113_6"
70,58.7,"113_6"
72,58.7,"113_6"
74,58.7,"113_6"
76,59.275,"113_6"
78,59.5,"113_6"
80,59.55,"113_6"
82,60.4,"113_6"
84,60.5,"113_6"
86,60.5,"113_6"
88,60.5,"113_6"
90,60.5,"113_6"
92,60.5,"113_6"
94,60.5,"113_6"
96,60.5,"113_6"
98,62.875,"113_6"
100,64.7,"113_6"
102,65.475,"113_6"
104,66.95,"113_6"
106,67.525,"113_6"
108,67.8,"113_6"
110,68.975,"113_6"
112,69.85,"113_6"
114,70.625,"113_6"
116,71.5,"113_6"
118,71.5,"113_6"
2,54.2,"114_1"
4,54.2,"114_1"
6,54.2,"114_1"
8,54.2,"114_1"
10,54.2,"114_1"
12,54.2,"114_1"
14,53.8,"114_1"
16,43.9,"114_1"
18,41.7,"114_1"
20,41.7,"114_1"
22,41.7,"114_1"
24,41.7,"114_1"
26,41.7,"114_1"
28,44.05,"114_1"
30,58.025,"114_1"
32,60.45,"114_1"
34,70.675,"114_1"
36,91.275,"114_1"
38,100,"114_1"
40,100,"114_1"
42,100,"114_1"
44,100,"114_1"
46,100,"114_1"
48,100,"114_1"
50,100,"114_1"
52,100,"114_1"
54,100,"114_1"
56,100,"114_1"
58,100,"114_1"
60,100,"114_1"
62,100,"114_1"
64,100,"114_1"
66,100,"114_1"
68,100,"114_1"
70,100,"114_1"
72,100,"114_1"
74,100,"114_1"
76,99,"114_1"
78,68.55,"114_1"
80,44.225,"114_1"
82,33.15,"114_1"
84,32.5,"114_1"
86,32.5,"114_1"
88,32.5,"114_1"
90,32.5,"114_1"
92,31.775,"114_1"
94,29.65,"114_1"
96,29.325,"114_1"
98,28.375,"114_1"
100,28,"114_1"
102,28,"114_1"
104,28,"114_1"
106,28,"114_1"
108,28,"114_1"
110,28,"114_1"
