"time","videoID","condition","participantID","rating"
66,"053v2","both","312",50.5
68,"053v2","both","312",51
70,"053v2","both","312",51
72,"053v2","both","312",51
74,"053v2","both","312",51
76,"053v2","both","312",51
78,"053v2","both","312",51
80,"053v2","both","312",51
82,"053v2","both","312",51
84,"053v2","both","312",51
86,"053v2","both","312",51
88,"053v2","both","312",52.5
90,"053v2","both","312",57.5
92,"053v2","both","312",58
94,"053v2","both","312",58
96,"053v2","both","312",58
98,"053v2","both","312",58.25
100,"053v2","both","312",59.25
102,"053v2","both","312",60
104,"053v2","both","312",60
106,"053v2","both","312",60
108,"053v2","both","312",61
110,"053v2","both","312",61
112,"053v2","both","312",61
114,"053v2","both","312",61
116,"053v2","both","312",61
118,"053v2","both","312",61
120,"053v2","both","312",61
122,"053v2","both","312",61
124,"053v2","both","312",61
126,"053v2","both","312",61
128,"053v2","both","312",61.5
130,"053v2","both","312",65.75
132,"053v2","both","312",66
134,"053v2","both","312",66
136,"053v2","both","312",66
138,"053v2","both","312",66
140,"053v2","both","312",66
142,"053v2","both","312",66
144,"053v2","both","312",66
146,"053v2","both","312",66
148,"053v2","both","312",66
150,"053v2","both","312",66
152,"053v2","both","312",66
154,"053v2","both","312",66
156,"053v2","both","312",66
158,"053v2","both","312",63.75
160,"053v2","both","312",63.25
162,"053v2","both","312",64
164,"053v2","both","312",64
166,"053v2","both","312",63.25
168,"053v2","both","312",63
2,"053v2","both","313",50
4,"053v2","both","313",50
6,"053v2","both","313",50
8,"053v2","both","313",50
10,"053v2","both","313",49.5
12,"053v2","both","313",48
14,"053v2","both","313",46
16,"053v2","both","313",46
18,"053v2","both","313",46
20,"053v2","both","313",46
22,"053v2","both","313",45.75
24,"053v2","both","313",44.75
26,"053v2","both","313",44
28,"053v2","both","313",44
30,"053v2","both","313",44
32,"053v2","both","313",44
34,"053v2","both","313",44
36,"053v2","both","313",44
38,"053v2","both","313",44
40,"053v2","both","313",44
42,"053v2","both","313",44
44,"053v2","both","313",44
46,"053v2","both","313",44
48,"053v2","both","313",44
50,"053v2","both","313",44
52,"053v2","both","313",44
54,"053v2","both","313",44
56,"053v2","both","313",44
58,"053v2","both","313",44
60,"053v2","both","313",44
62,"053v2","both","313",44.5
64,"053v2","both","313",48
66,"053v2","both","313",50
68,"053v2","both","313",50
70,"053v2","both","313",50
72,"053v2","both","313",51.25
74,"053v2","both","313",53
76,"053v2","both","313",53
78,"053v2","both","313",54
80,"053v2","both","313",54
82,"053v2","both","313",54
84,"053v2","both","313",54
86,"053v2","both","313",54
88,"053v2","both","313",54
90,"053v2","both","313",54
92,"053v2","both","313",55.25
94,"053v2","both","313",57.25
96,"053v2","both","313",58.75
98,"053v2","both","313",59
100,"053v2","both","313",59.25
102,"053v2","both","313",60
104,"053v2","both","313",60
106,"053v2","both","313",60
108,"053v2","both","313",60
110,"053v2","both","313",60.75
112,"053v2","both","313",61
114,"053v2","both","313",61
116,"053v2","both","313",61
118,"053v2","both","313",61
120,"053v2","both","313",61
122,"053v2","both","313",61
124,"053v2","both","313",61.5
126,"053v2","both","313",62.5
128,"053v2","both","313",64.5
130,"053v2","both","313",65.25
132,"053v2","both","313",66.75
134,"053v2","both","313",67
136,"053v2","both","313",67
138,"053v2","both","313",67.25
140,"053v2","both","313",68.75
142,"053v2","both","313",69
144,"053v2","both","313",69
146,"053v2","both","313",69
148,"053v2","both","313",69
150,"053v2","both","313",69
152,"053v2","both","313",69
154,"053v2","both","313",69.25
156,"053v2","both","313",70.25
158,"053v2","both","313",70
160,"053v2","both","313",70
162,"053v2","both","313",71.5
164,"053v2","both","313",76.5
166,"053v2","both","313",78
168,"053v2","both","313",78
2,"053v2","both","316",50
4,"053v2","both","316",50
6,"053v2","both","316",47.75
8,"053v2","both","316",49
10,"053v2","both","316",52
12,"053v2","both","316",54
14,"053v2","both","316",54
16,"053v2","both","316",54
18,"053v2","both","316",54
20,"053v2","both","316",52.75
22,"053v2","both","316",50
24,"053v2","both","316",48.75
26,"053v2","both","316",47.75
28,"053v2","both","316",46.75
30,"053v2","both","316",44.25
32,"053v2","both","316",42.75
34,"053v2","both","316",40.75
36,"053v2","both","316",39.75
38,"053v2","both","316",39
40,"053v2","both","316",38.5
42,"053v2","both","316",36.5
44,"053v2","both","316",36
46,"053v2","both","316",36
48,"053v2","both","316",34.25
50,"053v2","both","316",34
52,"053v2","both","316",34
54,"053v2","both","316",34.75
56,"053v2","both","316",36
58,"053v2","both","316",36
60,"053v2","both","316",36
62,"053v2","both","316",36
64,"053v2","both","316",36
66,"053v2","both","316",36
68,"053v2","both","316",44.5
70,"053v2","both","316",53
72,"053v2","both","316",54
74,"053v2","both","316",54.5
76,"053v2","both","316",55
78,"053v2","both","316",57
80,"053v2","both","316",57
82,"053v2","both","316",56
84,"053v2","both","316",53.75
86,"053v2","both","316",55
88,"053v2","both","316",54.75
90,"053v2","both","316",52.5
92,"053v2","both","316",52
94,"053v2","both","316",51.5
96,"053v2","both","316",54.5
98,"053v2","both","316",57.5
100,"053v2","both","316",59.75
102,"053v2","both","316",61.75
104,"053v2","both","316",62
106,"053v2","both","316",64.25
108,"053v2","both","316",61.75
110,"053v2","both","316",61
112,"053v2","both","316",60.5
114,"053v2","both","316",59
116,"053v2","both","316",60.5
118,"053v2","both","316",61
120,"053v2","both","316",62
122,"053v2","both","316",62.25
124,"053v2","both","316",63
126,"053v2","both","316",63
128,"053v2","both","316",63
130,"053v2","both","316",63
132,"053v2","both","316",61.5
134,"053v2","both","316",60.75
136,"053v2","both","316",61.75
138,"053v2","both","316",65.5
140,"053v2","both","316",67
142,"053v2","both","316",67.75
144,"053v2","both","316",68
146,"053v2","both","316",68
148,"053v2","both","316",68
150,"053v2","both","316",69
152,"053v2","both","316",68
154,"053v2","both","316",65
156,"053v2","both","316",61
158,"053v2","both","316",63
160,"053v2","both","316",68.25
162,"053v2","both","316",70
164,"053v2","both","316",69
166,"053v2","both","316",69
168,"053v2","both","316",72.25
2,"053v2","both","319",50
4,"053v2","both","319",50
6,"053v2","both","319",50
8,"053v2","both","319",50
10,"053v2","both","319",49.75
12,"053v2","both","319",49
14,"053v2","both","319",47.5
16,"053v2","both","319",45.75
18,"053v2","both","319",44.25
20,"053v2","both","319",43
22,"053v2","both","319",42.25
24,"053v2","both","319",38
26,"053v2","both","319",29.25
28,"053v2","both","319",25
30,"053v2","both","319",23.75
32,"053v2","both","319",23
34,"053v2","both","319",23.75
36,"053v2","both","319",26.75
38,"053v2","both","319",28.75
40,"053v2","both","319",29
42,"053v2","both","319",29
44,"053v2","both","319",29
46,"053v2","both","319",29
48,"053v2","both","319",29
50,"053v2","both","319",29
52,"053v2","both","319",30
54,"053v2","both","319",30
56,"053v2","both","319",30.75
58,"053v2","both","319",31
60,"053v2","both","319",31
62,"053v2","both","319",31
64,"053v2","both","319",32.5
66,"053v2","both","319",33.5
68,"053v2","both","319",36.25
70,"053v2","both","319",46.75
72,"053v2","both","319",61.25
74,"053v2","both","319",65
76,"053v2","both","319",66
78,"053v2","both","319",67
80,"053v2","both","319",67
82,"053v2","both","319",67.75
84,"053v2","both","319",68
86,"053v2","both","319",69
88,"053v2","both","319",69
90,"053v2","both","319",69
92,"053v2","both","319",69.5
94,"053v2","both","319",70.75
96,"053v2","both","319",73.5
98,"053v2","both","319",79.5
100,"053v2","both","319",81.75
102,"053v2","both","319",83.5
104,"053v2","both","319",84.25
106,"053v2","both","319",85
108,"053v2","both","319",85
110,"053v2","both","319",85
112,"053v2","both","319",85
114,"053v2","both","319",85
116,"053v2","both","319",85
118,"053v2","both","319",85
120,"053v2","both","319",85
122,"053v2","both","319",85
124,"053v2","both","319",85
126,"053v2","both","319",85
128,"053v2","both","319",87.5
130,"053v2","both","319",92.5
132,"053v2","both","319",99.25
134,"053v2","both","319",100
136,"053v2","both","319",98.75
138,"053v2","both","319",87.5
140,"053v2","both","319",82
142,"053v2","both","319",83
144,"053v2","both","319",84.25
146,"053v2","both","319",87
148,"053v2","both","319",88
150,"053v2","both","319",89
152,"053v2","both","319",89
154,"053v2","both","319",89.25
156,"053v2","both","319",90
158,"053v2","both","319",90
160,"053v2","both","319",90
162,"053v2","both","319",90.5
164,"053v2","both","319",91
166,"053v2","both","319",91
168,"053v2","both","319",91
2,"053v2","both","322",50
4,"053v2","both","322",50
6,"053v2","both","322",50
8,"053v2","both","322",50
10,"053v2","both","322",50
12,"053v2","both","322",50
14,"053v2","both","322",50
16,"053v2","both","322",47
18,"053v2","both","322",43.5
20,"053v2","both","322",41
22,"053v2","both","322",41
24,"053v2","both","322",40
26,"053v2","both","322",38.25
28,"053v2","both","322",38
30,"053v2","both","322",38
32,"053v2","both","322",38
34,"053v2","both","322",38
36,"053v2","both","322",38
38,"053v2","both","322",38
40,"053v2","both","322",38
42,"053v2","both","322",38
44,"053v2","both","322",38
46,"053v2","both","322",38
48,"053v2","both","322",38
50,"053v2","both","322",38
52,"053v2","both","322",38
54,"053v2","both","322",38
56,"053v2","both","322",38
58,"053v2","both","322",38
60,"053v2","both","322",38
62,"053v2","both","322",38
64,"053v2","both","322",44.25
66,"053v2","both","322",48.75
68,"053v2","both","322",50
70,"053v2","both","322",50
72,"053v2","both","322",50
74,"053v2","both","322",50
76,"053v2","both","322",50
78,"053v2","both","322",50.75
80,"053v2","both","322",53
82,"053v2","both","322",53
84,"053v2","both","322",53
86,"053v2","both","322",52.25
88,"053v2","both","322",49
90,"053v2","both","322",49
92,"053v2","both","322",49
94,"053v2","both","322",49
96,"053v2","both","322",49
98,"053v2","both","322",49.5
100,"053v2","both","322",50.25
102,"053v2","both","322",51
104,"053v2","both","322",51
106,"053v2","both","322",51
108,"053v2","both","322",51
110,"053v2","both","322",51
112,"053v2","both","322",51
114,"053v2","both","322",51
116,"053v2","both","322",51
118,"053v2","both","322",51
120,"053v2","both","322",51
122,"053v2","both","322",51
124,"053v2","both","322",51
126,"053v2","both","322",51
128,"053v2","both","322",51
130,"053v2","both","322",51
132,"053v2","both","322",51
134,"053v2","both","322",50
136,"053v2","both","322",50
138,"053v2","both","322",50
140,"053v2","both","322",50
142,"053v2","both","322",50
144,"053v2","both","322",50
146,"053v2","both","322",50
148,"053v2","both","322",50
150,"053v2","both","322",50
152,"053v2","both","322",50
154,"053v2","both","322",50
