"participantID","videoID","order","condition","comprehensionCheckQ1Correct","comprehensionCheckQ2Correct","accuracy","IRI_EC","IRI_PT","IRI_PD","LT_Empathy","SPS","SIAS","gender","age"
"fedf6d9e","178_6",1,"both",TRUE,TRUE,0.336000683375888,28,24,23,13,30,49,"F",50
"e8d0c8db","173_6",1,"both",TRUE,TRUE,0.798867640051648,27,12,8,12,58,54,"F",39
"362e0088","120_1",1,"both",FALSE,TRUE,0.811451653626492,24,26,6,12,58,73,"F",39
"53b74c8e","147_5",1,"both",TRUE,TRUE,-0.208868802116541,28,15,15,15,59,62,"F",28
"111e29ff","137_6",1,"both",TRUE,TRUE,0.438160357402229,20,19,11,11,8,29,"F",26
"cfa3ae59","121_5",1,"both",TRUE,TRUE,0.780608693871502,25,28,0,12,0,7,"F",41
"1caadf3c","151_2",1,"both",TRUE,TRUE,0.078830693584318,18,19,15,12,20,32,NA,58
"ce426d19","129_2",1,"both",TRUE,TRUE,0.3234441319864,24,24,5,12,2,8,"F",31
"917c1ecc","129_2",1,"both",TRUE,TRUE,-0.379568765744614,20,19,14,13,28,28,"M",44
"acab6556","174_2",1,"both",TRUE,TRUE,0.377978501535717,21,10,10,12,22,20,"M",35
"67371182","174_2",1,"both",TRUE,TRUE,0.829109206756601,22,18,7,9,14,14,"M",57
"09661926","170_2",1,"both",TRUE,TRUE,-0.475874892382591,19,26,9,12,57,55,"M",35
"9fd3c89c","151_2",1,"both",TRUE,TRUE,0.429365421756134,14,13,1,9,0,7,"F",30
"79ea0a5c","174_2",1,"both",TRUE,TRUE,0.798456587702863,24,8,27,12,10,15,"F",42
"4ad05724","116_5",1,"both",FALSE,TRUE,0.362367106045672,18,16,15,14,3,32,"F",44
"a2d2a10d","151_2",1,"both",TRUE,TRUE,0.850238381848821,10,10,21,13,33,38,"F",43
"8536b46b","161_3",1,"both",TRUE,TRUE,0.594992912562507,14,20,10,8,22,51,"M",21
"7d89d2be","181_2",1,"both",TRUE,TRUE,0.92296453325656,23,9,18,11,24,26,"F",37
"d97ade0e","120_1",1,"both",TRUE,TRUE,0.748114978318812,13,13,11,13,12,14,"F",47
"2967dd9f","173_6",1,"both",TRUE,TRUE,0.271986134769731,21,22,15,11,22,19,"M",31
"c21d8d55","129_2",1,"both",TRUE,TRUE,0.650487135765823,24,19,5,12,29,18,"F",47
"f0715e54","173_6",1,"both",TRUE,TRUE,0.326401136800747,23,20,9,10,12,18,"F",35
"c704493a","120_1",1,"both",TRUE,TRUE,0.638411308598886,27,24,9,12,4,24,"F",71
"eb51137c","147_2",1,"both",TRUE,TRUE,0.344220866694372,25,23,1,13,12,19,"M",27
"65a80f85","124_3",1,"both",FALSE,TRUE,0.566308377414238,24,18,0,12,2,6,"M",59
"3184feca","167_2",1,"both",TRUE,TRUE,0.728151812747087,28,28,9,15,13,4,"F",44
"8d9b59f9","147_5",1,"both",TRUE,TRUE,-0.0533588636078943,18,14,22,13,43,60,"F",67
"b7361412","167_2",1,"both",TRUE,TRUE,0.886880924008412,20,25,3,13,35,53,"F",29
"25f61d7c","124_3",1,"both",TRUE,TRUE,0.692842925463451,22,17,12,12,52,45,"F",41
"df470d8f","121_5",1,"both",TRUE,TRUE,0.468180077856342,21,14,5,13,8,11,"F",34
"cb35e041","151_2",1,"both",TRUE,TRUE,0.501169396018473,21,21,7,12,21,18,"M",35
"9f259311","151_2",1,"both",TRUE,TRUE,0.568970361494404,24,23,1,12,2,5,"M",58
"e53069f7","170_2",1,"both",TRUE,TRUE,-0.233036507801413,17,21,14,10,15,31,"M",63
"69a3ebe6","151_2",1,"both",TRUE,TRUE,0.414371228246444,21,22,8,16,0,5,"M",23
"d17d0094","147_5",1,"both",TRUE,TRUE,0.189872768211457,19,19,9,13,50,59,"F",23
"0a11f7be","153_3",1,"both",TRUE,TRUE,0.344471853112901,20,18,9,15,11,15,"F",51
"d84d5853","178_6",1,"both",TRUE,TRUE,0.367696642518068,25,28,6,12,0,4,NA,45
"96d39f35","121_5",1,"both",TRUE,FALSE,0.799744694310133,5,16,8,12,9,30,"M",26
"a3cbb732","147_2",1,"both",TRUE,TRUE,0.224298486626738,25,18,0,12,7,15,"F",55
"de98cb8f","128_2",1,"both",TRUE,TRUE,0.783035580480547,28,23,3,12,24,35,"F",25
"7e32dc2e","116_5",1,"both",TRUE,TRUE,0.0901357717582802,21,18,11,13,37,50,"F",46
"d36fe703","129_5",1,"both",TRUE,TRUE,0.981717404014721,14,6,12,6,28,33,"M",37
"4beb0626","171_1",1,"both",FALSE,TRUE,0.0559268306118135,21,18,12,9,18,28,"F",23
"e00f9067","174_3",1,"both",TRUE,TRUE,-0.107823243110902,13,13,17,12,40,32,"M",26
"601d3a1a","167_2",1,"both",TRUE,TRUE,0.942551570586948,20,20,10,11,47,48,"F",27
