"participantID","videoID","order","condition","accuracy","IRI_EC","IRI_PT","IRI_PD","gender","age"
"7151b148","HID119_vid5",1,"videoOnly",0.0369303027301886,25,28,4,"M",35
"76ce2593","HID53_vid2",1,NA,NA,14,14,19,"M",30
"0f320ecb","HID119_vid5",1,"videoOnly",0.641438124315812,12,20,11,"F",26
"078a1f58","HID119_vid5",1,"videoOnly",-0.192379102740576,21,28,8,"F",24
"16b43572","HID127_vid4",1,"videoOnly",-0.633670916078802,19,22,21,"F",36
"add79466","HID119_vid5",1,"videoOnly",0.702459069159701,19,28,7,"M",38
"478ff302","HID53_vid2",1,"videoOnly",0.294518206803228,22,22,7,"M",28
"0c105b0d","HID119_vid5",1,"videoOnly",0.0533126026101273,3,4,10,"F",49
"f97f70d5","HID119_vid5",1,"videoOnly",-0.192694454011405,25,15,6,"M",36
"ad0b8869","HID53_vid2",1,"videoOnly",0.280771572092625,23,28,12,"F",35
"c78ae839","HID53_vid2",1,"videoOnly",0.307000303430409,25,24,10,"M",41
"94732362","HID127_vid4",1,"videoOnly",-0.000724532297199968,25,25,8,"M",32
"34547b55","HID53_vid2",1,"videoOnly",0.52422567299592,28,28,5,"F",30
"d7f7c7d1","HID127_vid4",1,"videoOnly",0.0059626701649047,25,28,4,"F",34
"2e29cafe","HID127_vid4",1,"videoOnly",0.565947384101025,26,17,12,"F",45
"43605646","HID127_vid4",1,"videoOnly",-0.312576451045605,16,14,2,"M",45
"2ba7fa26","HID53_vid2",1,"videoOnly",0.762499260546109,17,21,11,"M",31
"9b77ba61","HID53_vid2",1,"videoOnly",0.0945816392840506,12,24,15,"M",27
"eacd771c","HID119_vid5",1,"videoOnly",-0.653943020942126,23,20,3,"F",41
"0247e7dd","HID127_vid4",1,NA,NA,28,20,0,"F",40
"e332c178","HID119_vid5",1,NA,NA,13,15,12,"F",29
"22ac1ea1","HID127_vid4",1,"videoOnly",-0.307278212975393,12,13,15,"F",21
"728f6231","HID127_vid4",1,"videoOnly",0.336629958249477,24,19,16,"F",22
"2f381950","HID53_vid2",1,"videoOnly",-0.0310000271404335,1,0,0,"M",35
"24c11a53","HID53_vid2",1,"videoOnly",0.720977808344528,15,25,9,"M",52
"22a6f949","HID107_vid4",2,NA,NA,16,18,12,"M",22
"c6b13398","HID107_vid4",2,NA,NA,0,14,0,"M",38
"541494f4","HID114_vid4",2,"audioOnly",0.586755584824791,28,23,14,"M",28
"7d9d571c","HID107_vid4",2,"audioOnly",0.836726105884065,26,13,0,"F",52
"cd3aa500","HID107_vid4",2,"audioOnly",0.0484839367677291,21,23,9,"M",32
"7a928c6e","HID114_vid4",2,NA,NA,16,15,14,"M",36
"413b2af6","HID112_vid4",2,NA,NA,16,11,11,"M",28
"8ccee626","HID107_vid4",2,"audioOnly",-0.077731943225639,25,24,7,"M",26
"d7871237","HID107_vid4",2,"audioOnly",0.42617006671772,19,19,3,"M",45
"6ef6615b","HID107_vid4",2,NA,NA,16,26,6,"M",22
"0fef6d85","HID112_vid4",2,NA,NA,23,22,5,"M",38
"bfafaf81","HID114_vid4",2,"audioOnly",0.616191642179128,28,11,16,"F",38
"5146a4da","HID107_vid4",2,NA,NA,22,18,11,"M",30
"bafb206b","HID112_vid4",2,"audioOnly",0.170634120953795,20,21,14,"M",48
"209261bc","HID112_vid4",2,"audioOnly",0.423634090266125,22,21,9,"M",49
"6aafde3c","HID114_vid4",2,"audioOnly",0.707584413335643,14,20,4,"M",24
"81d0338d","HID114_vid4",2,"audioOnly",0.685338758036564,28,28,0,"M",34
"bf8bbc0b","HID114_vid4",2,"audioOnly",0.574217188634954,28,28,12,"F",40
"0d520fdc","HID114_vid4",2,NA,NA,11,13,13,"M",23
"51411933","HID112_vid4",2,NA,NA,24,24,4,"M",31
"88ac2022","HID114_vid4",2,"audioOnly",0.401299805738135,28,28,17,"M",25
"d0fa54d1","HID112_vid4",2,"audioOnly",0.307205635328501,7,17,7,"M",30
