"condition","videoID","time","rating","N","sd"
"audioOnly","053v2",90,47.6979166666667,24,15.944533472163
"audioOnly","053v2",92,51.9895833333333,24,19.7344434008304
"audioOnly","053v2",94,55.4791666666667,24,18.7403477571248
"audioOnly","053v2",96,55.0729166666667,24,14.4828382634989
"audioOnly","053v2",98,56.4895833333333,24,16.2789005822465
"audioOnly","053v2",100,58.2291666666667,24,17.3815739310006
"audioOnly","053v2",102,58.71875,24,16.8737821621746
"audioOnly","053v2",104,57.7708333333333,24,15.7195040625019
"audioOnly","053v2",106,56.4479166666667,24,15.7593966390702
"audioOnly","053v2",108,56.6458333333333,24,16.3333009834048
"audioOnly","053v2",110,57.875,24,17.3898708648354
"audioOnly","053v2",112,57.25,24,17.0431039222422
"audioOnly","053v2",114,56.90625,24,16.353568368083
"audioOnly","053v2",116,56.8229166666667,24,16.4581945967368
"audioOnly","053v2",118,55.4895833333333,24,17.6173825917489
"audioOnly","053v2",120,54.6979166666667,24,18.0539618629617
"audioOnly","053v2",122,54.7395833333333,24,18.2974337661743
"audioOnly","053v2",124,54.84375,24,18.7327910157331
"audioOnly","053v2",126,57.6979166666667,24,17.0736860794786
"audioOnly","053v2",128,62.5416666666667,24,16.0631678793083
"audioOnly","053v2",130,65.53125,24,15.8397739093713
"audioOnly","053v2",132,67.7395833333333,24,15.6456132146464
"audioOnly","053v2",134,67.2604166666667,24,16.7475629581212
"audioOnly","053v2",136,67.4791666666667,24,16.9473155285192
"audioOnly","053v2",138,68.2604166666667,24,17.0618247862364
"audioOnly","053v2",140,70.3229166666667,24,14.7604935345692
"audioOnly","053v2",142,71.2395833333333,24,14.0939161957166
"audioOnly","053v2",144,72.15625,24,13.5509931651104
"audioOnly","053v2",146,72.2604166666667,24,14.1362698724167
"audioOnly","053v2",148,71.5625,24,15.9172879080522
"audioOnly","053v2",150,70.3541666666667,24,14.5110371536759
"audioOnly","053v2",152,70.7916666666667,24,13.025407167688
"audioOnly","053v2",154,70.9479166666667,24,13.466944064172
"audioOnly","053v2",156,70.9583333333333,24,13.7760951325638
"audioOnly","053v2",158,71.65625,24,15.069370839554
"audioOnly","053v2",160,74.5,24,14.3859835165737
"audioOnly","053v2",162,78.34375,24,14.53496767544
"audioOnly","053v2",164,77.6666666666667,24,15.4680010981062
"audioOnly","053v2",166,78.3229166666667,24,14.226712315117
"audioOnly","053v2",168,79.4895833333333,24,13.2440468920836
"both","053v2",2,50.1,25,0.5
"both","053v2",4,49.97,25,0.410284454169705
"both","053v2",6,48.97,25,4.45423487630966
"both","053v2",8,49.05,25,6.44609054647337
"both","053v2",10,46.54,25,7.98131933538142
"both","053v2",12,44.34,25,9.16625377858007
"both","053v2",14,42.45,25,9.48106665940072
"both","053v2",16,41.27,25,8.66113204687085
"both","053v2",18,40.11,25,8.25507419712264
"both","053v2",20,38.98,25,8.73239896401136
"both","053v2",22,37.05,25,10.6538823127221
"both","053v2",24,35.58,25,11.4270147749387
"both","053v2",26,34.84,25,11.5915468481706
"both","053v2",28,34.18,25,11.829192350565
"both","053v2",30,33.3,25,11.3985561951211
"both","053v2",32,32.53,25,10.8563825313346
"both","053v2",34,32.48,25,10.6269409991775
"both","053v2",36,33.63,25,11.2539622652054
"both","053v2",38,32.64,25,10.7354746828758
"both","053v2",40,32.34,25,10.6033799642693
"both","053v2",42,31.97,25,11.2715811520242
"both","053v2",44,31.67,25,11.1050195107138
"both","053v2",46,30.85,25,11.2876684188247
"both","053v2",48,30.19,25,11.1131209987714
"both","053v2",50,30.28,25,11.3700355467049
"both","053v2",52,31.61,25,11.7779101145605
"both","053v2",54,33.16,25,12.1526488882054
"both","053v2",56,34.38,25,12.4946071700287
"both","053v2",58,35.77,25,12.7915825187243
