"participantID","videoID","condition","accuracy"
347,"107v4","videoOnly",0.392412623904249
350,"107v4","videoOnly",0.159883858639158
353,"107v4","videoOnly",0.199188008218147
356,"107v4","videoOnly",0.231301528681861
359,"107v4","videoOnly",-0.710049289154749
362,"107v4","videoOnly",-0.533383681235902
365,"107v4","videoOnly",0.231423491216107
368,"107v4","videoOnly",0.55402741090446
371,"107v4","videoOnly",0.605912054905146
302,"112v4","both",0.689016850902649
305,"112v4","both",0.485435561759054
308,"112v4","both",0.662184463281385
311,"112v4","both",0.53348057519225
314,"112v4","both",0.0998124678493511
317,"112v4","both",0.577149466157418
320,"112v4","both",0.767092048053825
323,"112v4","both",0.398994087333303
326,"112v4","both",0.477239774461216
329,"112v4","both",0.738379682307975
332,"112v4","both",0.722991802269654
335,"112v4","both",0.739177656234724
338,"112v4","both",0.330232248340318
341,"112v4","both",0.654886872424443
344,"112v4","both",0.59999398318383
347,"112v4","both",0.150666050636815
350,"112v4","both",0.0591246730534234
353,"112v4","both",0.663622899387041
356,"112v4","both",0.803066360949908
359,"112v4","both",0.803671834805723
362,"112v4","both",0.900392285732194
365,"112v4","both",0.00121726114782438
368,"112v4","both",0.390362592497776
371,"112v4","both",0.620422724280707
303,"112v4","audioOnly",0.561052926037897
306,"112v4","audioOnly",0.720744864812958
309,"112v4","audioOnly",0.663105124919851
315,"112v4","audioOnly",0.844518373067546
318,"112v4","audioOnly",0.368759508331084
321,"112v4","audioOnly",0.656762424224878
324,"112v4","audioOnly",0.636604529923868
327,"112v4","audioOnly",0.651866863632289
330,"112v4","audioOnly",0.59485703483178
333,"112v4","audioOnly",0.621106937243653
336,"112v4","audioOnly",0.278292613821757
339,"112v4","audioOnly",0.340081460374378
342,"112v4","audioOnly",0.586676021698382
345,"112v4","audioOnly",0.535316994186607
348,"112v4","audioOnly",0.82114607753237
351,"112v4","audioOnly",0.517994591580288
354,"112v4","audioOnly",0.581766395820201
357,"112v4","audioOnly",0.302295008431071
360,"112v4","audioOnly",0.7440834676733
363,"112v4","audioOnly",0.823662254208249
366,"112v4","audioOnly",0.75162310283377
369,"112v4","audioOnly",0.39217238934131
372,"112v4","audioOnly",0.350606498540602
301,"112v4","videoOnly",0.543238922264816
304,"112v4","videoOnly",-0.0936342037064288
307,"112v4","videoOnly",0.456550554501983
310,"112v4","videoOnly",0.625773235038551
312,"112v4","videoOnly",0.738418330035621
313,"112v4","videoOnly",0.566443124876092
316,"112v4","videoOnly",-0.0260213614022468
319,"112v4","videoOnly",-0.405318068809309
322,"112v4","videoOnly",-0.0414593304781389
325,"112v4","videoOnly",0.708755837461402
328,"112v4","videoOnly",0.597520098635679
331,"112v4","videoOnly",0.609092273990911
334,"112v4","videoOnly",0.47380769593617
337,"112v4","videoOnly",0.588414428480384
340,"112v4","videoOnly",0.648606173858077
343,"112v4","videoOnly",0.265797841711858
346,"112v4","videoOnly",-0.0554517747357856
349,"112v4","videoOnly",0.660907110634745
352,"112v4","videoOnly",0.668730778524873
355,"112v4","videoOnly",0.786348175193282
358,"112v4","videoOnly",-0.155157580982332
361,"112v4","videoOnly",0.708131631869712
364,"112v4","videoOnly",0.328479905303169
367,"112v4","videoOnly",0.20941497561674
370,"112v4","videoOnly",0.210736957190313
301,"114v4","both",-0.0558067484160934
304,"114v4","both",0.456313196425122
307,"114v4","both",0.756750680203676
310,"114v4","both",0.744072348691407
312,"114v4","both",-0.712564952713795
313,"114v4","both",0.611219828680777
316,"114v4","both",0.551234563883371
319,"114v4","both",0.703629795956317
322,"114v4","both",0.120517665255933
325,"114v4","both",0.750605558923581
328,"114v4","both",0.670215620772602
331,"114v4","both",0.688494831210936
334,"114v4","both",0.779426396207869
337,"114v4","both",-0.124279347163792
340,"114v4","both",0.667822713139678
343,"114v4","both",0.270759958534905
346,"114v4","both",-0.0341020333916423
349,"114v4","both",0.678354190420753
352,"114v4","both",0.606017262730917
355,"114v4","both",0.463456000135786
358,"114v4","both",0.42426381667398
361,"114v4","both",0.491316312845782
364,"114v4","both",0.589367541070062
367,"114v4","both",0.55872863670211
370,"114v4","both",0.536437947960424
302,"114v4","audioOnly",-0.129252944298344
305,"114v4","audioOnly",0.733116027771368
308,"114v4","audioOnly",-0.0815632021180192
311,"114v4","audioOnly",0.418848092746718
314,"114v4","audioOnly",0.450821335293127
317,"114v4","audioOnly",-0.347195944409319
320,"114v4","audioOnly",0.322602916215389
323,"114v4","audioOnly",0.714165091800406
326,"114v4","audioOnly",0.47927800909743
329,"114v4","audioOnly",0.603058144756398
332,"114v4","audioOnly",0.378902936012428
335,"114v4","audioOnly",-0.292617886133937
338,"114v4","audioOnly",0.641104972124753
341,"114v4","audioOnly",0.305301930633186
344,"114v4","audioOnly",0.07301295486009
347,"114v4","audioOnly",-0.0273076329998858
350,"114v4","audioOnly",0.305316464179482
353,"114v4","audioOnly",-0.16355521382564
356,"114v4","audioOnly",-0.45221110964057
359,"114v4","audioOnly",-0.529881245965289
362,"114v4","audioOnly",0.614820872626837
365,"114v4","audioOnly",0.306375504851315
368,"114v4","audioOnly",0.418585854128042
371,"114v4","audioOnly",0.682269188877366
303,"114v4","videoOnly",0.487099798784535
306,"114v4","videoOnly",-0.12785387242627
309,"114v4","videoOnly",0.616851817333256
315,"114v4","videoOnly",0.200669278006195
318,"114v4","videoOnly",0.416496102382449
321,"114v4","videoOnly",0.58376501229044
324,"114v4","videoOnly",0.566629313126954
